locality,year,price
ABBOTSFORD,2010,736000
ABERFELDIE,2010,1046500
AINTREE,2010,
AIREYS INLET,2010,606000
AIRPORT WEST,2010,575000
ALBANVALE,2010,320000
ALBERT PARK,2010,1167500
ALBION,2010,440000
ALEXANDRA,2010,230000
ALFREDTON,2010,316000
ALLANSFORD,2010,250500
ALPHINGTON,2010,1000000
ALTO,2010,628500
ALTO EAST,2010,571000
ALTO MEADOWS,2010,385000
ALTO NORTH,2010,515000
ANGLESEA,2010,580000
APOLLO BAY,2010,442500
ARARAT,2010,174000
ARDEER,2010,382500
ARMADALE,2010,1800000
ARMSTRONG CREEK,2010,
ASCOT (GREATER BENDIGO),2010,330000
ASCOT VALE,2010,750000
ASHBURTON,2010,985000
ASHWOOD,2010,760000
ASPENDALE,2010,637500
ASPENDALE GARDENS,2010,581000
ATTWOOD,2010,576000
AVENEL,2010,268500
AVOCA,2010,144000
AVONDALE HEIGHTS,2010,576000
AVONSLEIGH,2010,321500
BACCHUS MARSH,2010,305000
BADGER CREEK,2010,295000
BAIRNSDALE,2010,230000
BALACLAVA,2010,916000
BALCOMBE,2010,655000
BALLAN,2010,260000
BALLARAT CENTRAL,2010,280000
BALLARAT EAST,2010,225500
BALLARAT NORTH,2010,272000
BALRRING,2010,480000
BALRRING BEACH,2010,787500
BALWYN,2010,1450000
BALWYN NORTH,2010,1141000
BANNOCKBURN,2010,342500
BARANDUDA,2010,353000
BARWARTHA,2010,169000
BARWON HEADS,2010,615500
BAXTER,2010,317000
BAYSWATER,2010,453500
BAYSWATER NORTH,2010,450000
BEACONSFIELD,2010,460000
BEACONSFIELD UPPER,2010,472000
BEAUFORT,2010,174500
BEAUMARIS,2010,1107500
BEECHWORTH,2010,310500
BELGRAVE,2010,380000
BELGRAVE HEIGHTS,2010,425000
BELGRAVE SOUTH,2010,490000
BELL PARK,2010,290000
BELL POST HILL,2010,310000
BELLFIELD (BANYULE),2010,575000
BELMONT,2010,338000
BELLA,2010,220000
BENDIGO,2010,295000
BENTLEIGH,2010,910000
BENTLEIGH EAST,2010,760000
BERWICK,2010,450000
BEVERIDGE,2010,522500
BIRCHIP,2010,67500
BIRREGURRA,2010,230000
BITTERN,2010,352000
BLACK HILL,2010,263500
BLACK ROCK,2010,1390000
BLACKBURN,2010,850000
BLACKBURN NORTH,2010,659000
BLACKBURN SOUTH,2010,670000
BLACKWOOD,2010,260000
BLAIRGOWRIE,2010,625000
BLIND BIGHT,2010,337500
BONBEACH,2010,585000
BONNIE DOON,2010,210000
BONSHAW,2010,
BOOLARRA,2010,178000
BOORT,2010,157000
BORONIA,2010,450000
BOTANIC RIDGE,2010,520000
BOX HILL,2010,874000
BOX HILL NORTH,2010,726000
BOX HILL SOUTH,2010,823000
BRAYBROOK,2010,460000
BREAKWATER,2010,250000
BRIAGOLONG,2010,205000
BRIAR HILL,2010,580000
BRIGHT,2010,311500
BRIGHTON,2010,1810000
BRIGHTON EAST,2010,1255000
BROADFORD,2010,248500
BROADMEADOWS,2010,384000
BROOKFIELD,2010,333500
BROOKLYN,2010,486500
BROWN HILL,2010,261000
BRUNSWICK,2010,710000
BRUNSWICK EAST,2010,700000
BRUNSWICK WEST,2010,728000
BRUTHEN,2010,226000
BULLEEN,2010,728000
BUNDALONG,2010,390000
BUNDOORA,2010,500000
BUNINYONG,2010,322500
BUNYIP,2010,292500
BURNSIDE,2010,395000
BURNSIDE HEIGHTS,2010,405000
BURWOOD,2010,778000
BURWOOD EAST,2010,678000
CAIRNLEA,2010,463000
CALIFORNIA GULLY,2010,209500
CAMBERWELL,2010,1345000
CAMPBELLFIELD,2010,385000
CAMPBELLS CREEK,2010,316000
CAMPERDOWN,2010,185000
CADIAN,2010,302500
CANTERBURY,2010,1827500
CAPE PATERSON,2010,332500
CAPE SCHANCK,2010,545000
CAPEL SOUND,2010,355000
CARISBROOK,2010,202000
CARLTON,2010,900000
CARLTON NORTH,2010,930000
CARNEGIE,2010,880000
CAROLINE SPRINGS,2010,407500
CARRUM,2010,500000
CARRUM DOWNS,2010,330000
CASTERTON,2010,117500
CASTLEMAINE,2010,300000
CAULFIELD,2010,1180000
CAULFIELD EAST,2010,866000
CAULFIELD NORTH,2010,1420000
CAULFIELD SOUTH,2010,1007500
CHADSTONE,2010,670500
CHARLEMONT,2010,560000
CHARLTON,2010,125000
CHELSEA,2010,585500
CHELSEA HEIGHTS,2010,445000
CHELTENHAM,2010,696000
CHELTENHAM EAST,2010,630000
CHELTENHAM NORTH,2010,651000
CHEWTON,2010,258000
CHILTERN,2010,189000
CHIRNSIDE PARK,2010,449500
CHURCHILL,2010,172000
CLARINDA,2010,530000
CLAYTON,2010,650500
CLAYTON NORTH,2010,745500
CLAYTON SOUTH,2010,550500
CLIFTON HILL,2010,825000
CLIFTON SPRINGS,2010,318000
CLUNES,2010,187500
CLYDE,2010,361500
CLYDE NORTH,2010,
COBBLEBANK,2010,
COBDEN,2010,220000
COBRAM,2010,212000
COBURG,2010,640000
COBURG EAST,2010,544000
COBURG NORTH,2010,533000
COCKATOO,2010,312000
COHU,2010,137000
COLAC,2010,213000
COLDSTREAM,2010,395000
COLERAINE,2010,95000
COLLINGWOOD,2010,751500
COOLAROO,2010,315000
COONS HILL,2010,690000
COONGULLA,2010,163000
CORINELLA,2010,325000
CORIO,2010,225000
CORONET BAY,2010,245000
CORRYONG,2010,128000
COWES,2010,400000
COWES WEST,2010,318500
CRAIGIEBURN,2010,365000
CRANBOURNE,2010,327000
CRANBOURNE EAST,2010,353000
CRANBOURNE NORTH,2010,355000
CRANBOURNE SOUTH,2010,
CRANBOURNE WEST,2010,310000
CREMORNE,2010,835000
CRESWICK,2010,214000
CRIB POINT,2010,347500
CROYDON,2010,465000
CROYDON HILLS,2010,549500
CROYDON NORTH,2010,527500
CROYDON SOUTH,2010,455000
CURLEWIS,2010,
DALLAS,2010,320000
DALYSTON,2010,271000
DANDENONG,2010,430000
DANDENONG NORTH,2010,400000
DARLEY,2010,330000
DAYLESFORD,2010,372500
DEANSIDE,2010,
DEEPDENE,2010,1930000
DEER PARK,2010,355000
DELACOMBE,2010,263000
DELAHEY,2010,365000
DENNINGTON,2010,329000
DERRIMUT,2010,395000
DIAMOND CREEK,2010,515000
DIGGERS REST,2010,266500
DIMBOOLA,2010,85500
DINGLEY VILLAGE,2010,553000
DINNER PLAIN,2010,475000
DOLD,2010,135000
DONCASTER,2010,795000
DONCASTER EAST,2010,750000
DONNYBROOK,2010,
DONVALE,2010,715000
DOREEN,2010,430000
DOVETON,2010,330000
DROMA,2010,446500
DROUIN,2010,275500
DRYSDALE,2010,355000
DUNKELD,2010,180000
DUNOLLY,2010,120000
EAGLE POINT,2010,236000
EAGLEHAWK,2010,226000
EAGLEMONT,2010,1330000
EAST BAIRNSDALE,2010,195000
EAST BENDIGO,2010,262500
EAST GEELONG,2010,400000
EAST MELBOURNE,2010,1621000
EAST WARBURTON,2010,285000
EASTWOOD,2010,330000
ECHUCA,2010,271000
EDENHOPE,2010,132500
EDITHVALE,2010,616000
EILDON,2010,190000
ELLIMINYT,2010,335000
ELMORE,2010,182500
ELSTERNWICK,2010,1240000
ELTHAM,2010,614000
ELTHAM NORTH,2010,621000
ELWOOD,2010,1350000
EMERALD,2010,433500
ENDEAVOUR HILLS,2010,400000
EPPING,2010,380000
EPSOM,2010,275000
ESSENDON,2010,952000
ESSENDON NORTH,2010,850000
ESSENDON WEST,2010,745000
EUMEMMERRING,2010,378000
EUREKA,2010,245000
EUROA,2010,167000
EYNESBURY,2010,295000
FAIRFIELD,2010,810000
FAIRHAVEN,2010,866000
FAWKNER,2010,460000
FERNTREE GULLY,2010,449000
FERNY CREEK,2010,580000
FINGAL,2010,515000
FITZROY,2010,805500
FITZROY NORTH,2010,900000
FIVEWAYS,2010,318500
FLEMINGTON,2010,670000
FLINDERS,2010,760000
FLORA HILL,2010,266000
FLOWERDALE,2010,180000
FOOTSCRAY,2010,574000
FOREST HILL,2010,620000
FOSTER,2010,265000
FRANKSTON,2010,367000
FRANKSTON NORTH,2010,280000
FRANKSTON SOUTH,2010,530000
FRASER RISE,2010,
FYANSFORD,2010,
GARDEN CITY,2010,1062500
GARDENVALE,2010,1200000
GARFIELD,2010,342500
GEELONG,2010,465000
GEELONG WEST,2010,385000
GEMBROOK,2010,340000
GISBORNE,2010,399000
GLADSTONE PARK,2010,426500
GLEN HUNTLY,2010,919000
GLEN IRIS,2010,1320000
GLEN WAVERLEY,2010,735000
GLENROWAN,2010,286000
GLENROY,2010,508500
GOLDEN BEACH,2010,150000
GOLDEN POINT (BALLARAT),2010,250000
GOLDEN SQUARE,2010,262000
GORDON,2010,270000
GOUGHS BAY,2010,193000
GOWANBRAE,2010,535000
GRANTVILLE,2010,260000
GREEN LAKE,2010,230000
GREENSBOROUGH,2010,530000
GREENVALE,2010,517500
GROVEDALE,2010,335000
HADFIELD,2010,530000
HALLAM,2010,365000
HALLS GAP,2010,257500
HAMILTON,2010,203500
HAMLYN HEIGHTS,2010,345000
HAMPTON,2010,1295000
HAMPTON EAST,2010,813000
HAMPTON PARK,2010,333000
HARCOURT,2010,350000
HARKNESS,2010,310000
HASTINGS,2010,355000
HASTINGS WEST,2010,265000
HAWTHORN,2010,1430000
HAWTHORN EAST,2010,1400000
HEALESVILLE,2010,361500
HEATHCOTE,2010,217000
HEATHERTON,2010,625000
HEATHMONT,2010,539500
HEIDELBERG,2010,815000
HEIDELBERG HEIGHTS,2010,560000
HEIDELBERG WEST,2010,475000
HEPBURN,2010,317000
HEPBURN SPRINGS,2010,298000
HERNE HILL,2010,321000
HEYFIELD,2010,155000
HEYWOOD,2010,172000
HIGHETT,2010,760000
HIGHTON,2010,437000
HILLSIDE (MELTON),2010,420000
HOPETOUN,2010,63000
HOPPERS CROSSING,2010,327500
HORSHAM,2010,187000
HUGHESDALE,2010,838000
HUNTINGDALE,2010,642500
HUNTLY,2010,269500
HURSTBRIDGE,2010,491000
INDENTED HEAD,2010,360000
INGLEWOOD,2010,170000
INVERLOCH,2010,422500
INVERMAY PARK,2010,337500
IRONBARK,2010,232000
IRYMPLE,2010,213500
IVANHOE,2010,1032500
IVANHOE EAST,2010,1415000
JACA,2010,391000
JACKASS FLAT,2010,275000
JAN JUC,2010,542500
JEERALANG NORTH,2010,152000
JEPARIT,2010,66000
JUNCTION VILLAGE,2010,314500
JUNORTOUN,2010,420000
KALIM,2010,265000
KALKALLO,2010,215000
KALLISTA,2010,450000
KALORAMA,2010,440000
KANGAROO FLAT,2010,252000
KANGAROO GROUND SOUTH,2010,679500
KANIVA,2010,94000
KEALBA,2010,385500
KEILOR,2010,603000
KEILOR DOWNS,2010,423000
KEILOR EAST,2010,580000
KEILOR LODGE,2010,460000
KEILOR PARK,2010,514500
KENNINGTON,2010,295000
KENSINGTON,2010,675500
KERANG,2010,147500
KEW,2010,1650000
KEW EAST,2010,1085000
KEW NORTH,2010,1174000
KEYSBOROUGH,2010,417500
KIALLA,2010,335000
KILCUNDA,2010,350000
KILLARA (WODONGA),2010,
KILMORE,2010,327500
KILSYTH,2010,432500
KILSYTH SOUTH,2010,515500
KINGLAKE,2010,280000
KINGS PARK,2010,340000
KINGSBURY,2010,519000
KINGSVILLE,2010,630000
KNOXFIELD,2010,471000
KOO WEE RUP,2010,297000
KOONDROOK,2010,239500
KOOYONG,2010,2150500
KOROIT,2010,236000
KORUMBURRA,2010,234000
KURUNJANG,2010,288000
KYABRAM,2010,209500
KYNETON,2010,330000
LAKE BOGA,2010,187000
LAKE GARDENS,2010,387000
LAKE TYERS BEACH,2010,286000
LAKE WENDOUREE,2010,550000
LAKES ENTRANCE,2010,256500
LALOR,2010,387000
LANCEFIELD,2010,281000
LANG LANG,2010,260000
LANGWARRIN,2010,395000
LARA,2010,325000
LARA LAKE,2010,340000
LAUNCHING PLACE,2010,355000
LAVERTON,2010,352000
LAVERTON SOUTH,2010,410000
LEITCHVILLE,2010,112500
LENEVA,2010,394000
LEONGATHA,2010,285000
LEOPOLD,2010,346000
LILYDALE,2010,438500
LINTON,2010,152500
LISMORE,2010,110000
LOCH SPORT,2010,170000
LONG GULLY,2010,210000
LONGWARRY,2010,262500
LORNE,2010,800000
LOVELY BANKS,2010,365000
LOWER PLENTY,2010,650000
LUCAS,2010,
LUCKNOW,2010,234000
LYNBROOK,2010,412000
LYNDHURST,2010,435000
LYSTERFIELD,2010,640000
MACEDON,2010,473000
MACLEOD,2010,645000
MADDINGLEY,2010,292500
MAFFRA,2010,230500
MAIDEN GULLY,2010,385000
MAIDSTONE,2010,563500
MALDON,2010,280000
MALLACOOTA,2010,300000
MALMSBURY,2010,314000
MALVERN,2010,1741500
MALVERN EAST,2010,1188000
MANIFOLD HEIGHTS,2010,401000
MANOR LAKES,2010,348500
MANSFIELD,2010,280000
MARIBYRNONG,2010,705000
MARONG,2010,257500
MARSHALL,2010,367500
MARYBOROUGH,2010,160000
MARYSVILLE,2010,340000
MCCRAE,2010,560000
MCKENZIE HILL,2010,350000
MCKINNON,2010,970000
MCLOUGHLINS BEACH,2010,149000
MEADOW HEIGHTS,2010,345000
MEENIYAN,2010,180000
MELTON,2010,250000
MELTON SOUTH,2010,248500
MELTON WEST,2010,285000
MENTONE,2010,680000
MERBEIN,2010,161000
MERINDA PARK,2010,300000
MERNDA,2010,390000
MERRIJIG (MANSFIELD),2010,287500
METUNG,2010,302000
MICKLEHAM,2010,
MIDDLE PARK,2010,1512500
MILDURA,2010,220000
MILL PARK,2010,420000
MILLGROVE,2010,234000
MINERS REST,2010,320000
MINYIP,2010,85000
MIRBOO NORTH,2010,244000
MITCHAM,2010,635000
MITCHELL PARK,2010,257000
MOE,2010,150000
MONBULK,2010,420000
MONT ALBERT,2010,1310000
MONT ALBERT NORTH,2010,965000
MONTMORENCY,2010,580000
MONTROSE,2010,440000
MOONEE PONDS,2010,852500
MOORABBIN,2010,710000
MOOROOLBARK,2010,445000
MOOROOP,2010,222000
MORDIALLOC,2010,650000
MORNINGTON,2010,512000
MORTLAKE,2010,150000
MORWELL,2010,152500
MOUNT BEAUTY,2010,195000
MOUNT CLEAR,2010,265000
MOUNT DANDENONG,2010,476000
MOUNT DUNEED,2010,267000
MOUNT ELIZA,2010,732000
MOUNT EVELYN,2010,390500
MOUNT HELEN,2010,311000
MOUNT MACEDON,2010,520000
MOUNT MARTHA,2010,705500
MOUNT PLEASANT,2010,239000
MOUNT WAVERLEY,2010,806000
MULGRAVE,2010,550000
MURCHISON,2010,175000
MURRUMBEE,2010,835000
MURTOA,2010,85000
MYRTLEFORD,2010,179000
GAMBIE,2010,351500
RRE WARREN,2010,368500
RRE WARREN NORTH,2010,690000
RRE WARREN SOUTH,2010,405000
THALIA,2010,155000
NEERIM SOUTH,2010,240000
NELSON,2010,266500
NERRI,2010,381000
NEW GISBORNE,2010,465000
NEWBOROUGH,2010,192500
NEWCOMB,2010,280000
NEWINGTON,2010,290500
NEWLANDS ARM,2010,300000
NEWPORT,2010,655000
NEWSTEAD,2010,237500
NEWTOWN (GREATER GEELONG),2010,559500
NHILL,2010,101500
NICHOLS POINT,2010,217500
NIDDRIE,2010,740000
NOBLE PARK,2010,415000
NOBLE PARK NORTH,2010,415000
NORLANE,2010,190500
NORTH BENDIGO,2010,218000
NORTH GEELONG,2010,304000
NORTH MELBOURNE,2010,805000
NORTH WONTHAGGI,2010,285000
NORTHCOTE,2010,822000
NOTTING HILL,2010,563000
NUMURKAH,2010,178000
NUWADING,2010,641000
NYAH WEST,2010,97500
NYORA,2010,237500
OAK PARK,2010,641000
OAKLEIGH,2010,741000
OAKLEIGH EAST,2010,675000
OAKLEIGH SOUTH,2010,630000
OCEAN GROVE,2010,427500
OFFICER,2010,385000
OFFICER SOUTH,2010,
OLINDA,2010,452500
OMEO,2010,179000
ORBOST,2010,181000
ORMOND,2010,970000
OSBORNE,2010,469000
OUYEN,2010,103000
PAKENHAM,2010,335000
PARADISE BEACH,2010,152500
PARK ORCHARDS,2010,945000
PARKDALE,2010,755000
PARKVILLE,2010,1335000
PASCOE VALE,2010,609000
PASCOE VALE SOUTH,2010,655000
PATTERSON GARDENS,2010,582500
PATTERSON LAKES,2010,621000
PAYNESVILLE,2010,290000
PEARCEDALE,2010,390000
PETERBOROUGH,2010,291500
PIONEER BAY,2010,235000
PLENTY,2010,900000
POINT COOK,2010,435000
POINT LONSDALE,2010,695000
POREPUNKAH,2010,320000
PORT ALBERT,2010,250000
PORT FAIRY,2010,392000
PORT FRANKLIN,2010,216000
PORT MELBOURNE,2010,1017500
PORT WELSHPOOL,2010,205000
PORTARLINGTON,2010,380000
PORTLAND,2010,220000
PORTLAND NORTH,2010,115000
PORTSEA,2010,1387500
PRAHRAN,2010,940000
PRESTON,2010,615000
PRINCES HILL,2010,1027500
PYRAMID HILL,2010,122500
QUARRY HILL,2010,295500
QUEENSCLIFF,2010,680000
RAINBOW,2010,70000
RAYMOND ISLAND,2010,277500
RED CLIFFS,2010,160000
REDAN,2010,230000
RESEARCH,2010,614500
RESERVOIR,2010,520000
RHYLL,2010,410000
RICHMOND,2010,875500
RIDDELLS CREEK,2010,387500
RINGWOOD,2010,553500
RINGWOOD EAST,2010,530500
RINGWOOD NORTH,2010,580000
RIPPLESIDE,2010,654000
ROBINVALE,2010,145000
ROCHESTER,2010,155000
ROCKBANK,2010,237000
ROMSEY,2010,350000
ROSAN,2010,706000
ROSEBUD,2010,355000
ROSEBUD SOUTH,2010,419500
ROSEDALE,2010,185000
ROWVILLE,2010,540000
ROXBURGH PARK,2010,371000
RUPANYUP,2010,129000
RUSHWORTH,2010,156500
RUTHERGLEN,2010,175000
RYE,2010,436000
SAFETY BEACH,2010,497500
SAILORS GULLY,2010,213500
SALE,2010,276500
SAN REMO,2010,445000
SANCTUARY LAKES,2010,465000
SANDHURST,2010,460000
SANDRINGHAM,2010,1200000
SANDY POINT,2010,338000
SASSAFRAS,2010,507000
SAWMILL SETTLEMENT,2010,221500
SCORESBY,2010,488000
SEA LAKE,2010,62500
SEABROOK,2010,415000
SEAFORD,2010,412500
SEAHOLME,2010,565000
SEASPRAY,2010,239000
SEBASTOPOL,2010,226000
SEDDON,2010,645500
SELBY,2010,407000
SEVILLE,2010,387500
SEVILLE EAST,2010,342500
SEYMOUR,2010,215000
SHEPPARTON,2010,251000
SHEPPARTON NORTH,2010,360000
SHOREHAM,2010,581000
SILVERLEAVES,2010,497500
SKENES CREEK,2010,500000
SKIPTON,2010,152000
SKYE,2010,375000
SMITHS BEACH,2010,442500
SMYTHESDALE,2010,210000
SOLDIERS HILL,2010,265000
SOMERS,2010,615000
SOMERVILLE,2010,370000
SORRENTO,2010,850000
SOUTH DUDLEY,2010,235500
SOUTH GEELONG,2010,420000
SOUTH KINGSVILLE,2010,650000
SOUTH MELBOURNE,2010,960000
SOUTH MORANG,2010,411000
SOUTH YARRA,2010,1375000
SPOTSWOOD,2010,635000
SPRING GULLY,2010,294000
SPRINGVALE,2010,490000
SPRINGVALE SOUTH,2010,450500
ST ALBANS,2010,385000
ST ALBANS PARK,2010,298000
ST ANDREWS BEACH,2010,495000
ST ARUD,2010,131000
ST HELE,2010,562000
ST KILDA,2010,930000
ST KILDA EAST,2010,1041000
ST KILDA WEST,2010,1925000
ST LEORDS,2010,350000
STANHOPE,2010,160000
STAWELL,2010,155000
STRATFORD,2010,207500
STRATHDALE,2010,331000
STRATHFIELDSAYE,2010,357000
STRATHMERTON,2010,165000
STRATHMORE,2010,870000
STRATHMORE HEIGHTS,2010,598500
STRATHTULLOH,2010,
STUDFIELD,2010,525000
SUNBURY,2010,343000
SUNDERLAND BAY,2010,315000
SUNNYCLIFFS,2010,120000
SUNSET STRIP,2010,286000
SUNSHINE,2010,458000
SUNSHINE NORTH,2010,425000
SUNSHINE WEST,2010,400000
SURF BEACH,2010,332000
SURREY HILLS,2010,1204000
SWAN HILL,2010,230000
SWAN REACH,2010,170000
SYDENHAM,2010,399000
SYNDAL,2010,880500
TALLANGATTA,2010,186000
TARNEIT,2010,360000
TATURA,2010,220000
TAWONGA SOUTH,2010,216000
TAYLORS HILL,2010,425000
TAYLORS LAKES,2010,467500
TECOMA,2010,400000
TEMPLESTOWE,2010,805000
TEMPLESTOWE LOWER,2010,730000
TERANG,2010,179000
THE BASIN,2010,430000
THE HONEYSUCKLES,2010,177500
THE PATCH,2010,444500
THOMASTOWN,2010,418000
THOMSON (GREATER GEELONG),2010,270000
THORNBURY,2010,720000
THORNHILL PARK,2010,
TIMBOON,2010,187000
TONGALA,2010,158500
TOONGABBIE,2010,260000
TOORA,2010,175000
TOORADIN,2010,420000
TOORAK,2010,2590000
TOOTGAROOK,2010,370000
TORQUAY,2010,533000
TRAFALGAR,2010,248500
TRARALGON,2010,257000
TRARALGON EAST,2010,388000
TRAVANCORE,2010,673000
TRENTHAM,2010,300000
TRUGANI,2010,345000
TULLAMARINE,2010,440000
TYABB,2010,347000
UPPER FERNTREE GULLY,2010,427500
UPWEY,2010,415000
VENTNOR,2010,380000
VENUS BAY,2010,239000
VERMONT,2010,610000
VERMONT SOUTH,2010,694500
VIEWBANK,2010,631500
VIOLET TOWN,2010,172500
WAHGUNYAH,2010,245000
WALKERVILLE,2010,235000
WALLAN,2010,330000
WALLAN EAST,2010,292500
WANDA HEIGHTS,2010,540000
WANDIN NORTH,2010,411000
WANGARATTA,2010,241000
WANTIR,2010,545000
WANTIR SOUTH,2010,575000
WARBURTON,2010,300000
WARNEET,2010,332500
WARRACKBEAL,2010,88000
WARRAGUL,2010,280000
WARRANDYTE,2010,635000
WARRANWOOD,2010,633500
WARRMBOOL,2010,320000
WATERWAYS,2010,604000
WATSONIA,2010,505000
WATSONIA NORTH,2010,529000
WATTLE GLEN,2010,490000
WAURN PONDS,2010,435000
WEDDERBURN,2010,140000
WEIR VIEWS,2010,
WENDOUREE,2010,230000
WENDOUREE WEST,2010,186000
WERRIBEE,2010,308500
WERRIBEE SOUTH,2010,399000
WEST FOOTSCRAY,2010,558500
WEST MELBOURNE,2010,816000
WEST WODONGA,2010,283000
WESTALL,2010,510000
WESTGARTH,2010,891500
WESTMEADOWS,2010,410000
WHEELERS HILL,2010,686500
WHITE HILLS,2010,253500
WHITTINGTON,2010,245000
WHITTLESEA,2010,345000
WILLIAMS LANDING,2010,367500
WILLIAMSTOWN,2010,884000
WILLIAMSTOWN NORTH,2010,680000
WIMBLEDON HEIGHTS,2010,299000
WINCHELSEA,2010,235000
WINDSOR,2010,900000
WINTER VALLEY,2010,325000
WODONGA,2010,262000
WOLLERT,2010,425000
WONGA PARK,2010,620000
WONTHAGGI,2010,275000
WOODEND,2010,480000
WOOLAMAI WATERS,2010,340000
WOORI YALLOCK,2010,300000
WURRUK,2010,175500
WY YUNG,2010,289000
WYCHEPROOF,2010,86000
WYNDHAM VALE,2010,296000
YACKANDANDAH,2010,289500
YALLAMBIE,2010,507000
YALLOURN NORTH,2010,145000
YARRA GLEN,2010,415000
YARRA JUNCTION,2010,352500
YARRAGON,2010,206000
YARRAM,2010,166000
YARRAVILLE,2010,647000
YARRAWONGA,2010,297000
YEA,2010,240000
YINR,2010,280500
ABBOTSFORD,2011,730000
ABERFELDIE,2011,994000
AINTREE,2011,
AIREYS INLET,2011,680000
AIRPORT WEST,2011,557500
ALBANVALE,2011,317000
ALBERT PARK,2011,1390000
ALBION,2011,400000
ALEXANDRA,2011,255000
ALFREDTON,2011,333000
ALLANSFORD,2011,332000
ALPHINGTON,2011,985000
ALTO,2011,575000
ALTO EAST,2011,523000
ALTO MEADOWS,2011,395000
ALTO NORTH,2011,520000
ANGLESEA,2011,600500
APOLLO BAY,2011,495000
ARARAT,2011,169000
ARDEER,2011,360000
ARMADALE,2011,1615000
ARMSTRONG CREEK,2011,205000
ASCOT (GREATER BENDIGO),2011,323500
ASCOT VALE,2011,735000
ASHBURTON,2011,890000
ASHWOOD,2011,749000
ASPENDALE,2011,630000
ASPENDALE GARDENS,2011,550000
ATTWOOD,2011,592000
AVENEL,2011,221500
AVOCA,2011,151000
AVONDALE HEIGHTS,2011,538000
AVONSLEIGH,2011,385500
BACCHUS MARSH,2011,330000
BADGER CREEK,2011,295000
BAIRNSDALE,2011,235000
BALACLAVA,2011,793500
BALCOMBE,2011,718500
BALLAN,2011,310000
BALLARAT CENTRAL,2011,320000
BALLARAT EAST,2011,245000
BALLARAT NORTH,2011,275000
BALRRING,2011,472500
BALRRING BEACH,2011,630000
BALWYN,2011,1363000
BALWYN NORTH,2011,1100000
BANNOCKBURN,2011,378000
BARANDUDA,2011,340000
BARWARTHA,2011,220000
BARWON HEADS,2011,607500
BAXTER,2011,320000
BAYSWATER,2011,447500
BAYSWATER NORTH,2011,436000
BEACONSFIELD,2011,505000
BEACONSFIELD UPPER,2011,437500
BEAUFORT,2011,142500
BEAUMARIS,2011,1050000
BEECHWORTH,2011,320000
BELGRAVE,2011,375000
BELGRAVE HEIGHTS,2011,382000
BELGRAVE SOUTH,2011,475000
BELL PARK,2011,315000
BELL POST HILL,2011,320000
BELLFIELD (BANYULE),2011,550500
BELMONT,2011,345000
BELLA,2011,225000
BENDIGO,2011,290000
BENTLEIGH,2011,882000
BENTLEIGH EAST,2011,720000
BERWICK,2011,440000
BEVERIDGE,2011,416500
BIRCHIP,2011,77000
BIRREGURRA,2011,260000
BITTERN,2011,365000
BLACK HILL,2011,292000
BLACK ROCK,2011,1237500
BLACKBURN,2011,786000
BLACKBURN NORTH,2011,617500
BLACKBURN SOUTH,2011,636500
BLACKWOOD,2011,263000
BLAIRGOWRIE,2011,600000
BLIND BIGHT,2011,358000
BONBEACH,2011,555000
BONNIE DOON,2011,215000
BONSHAW,2011,
BOOLARRA,2011,209000
BOORT,2011,164000
BORONIA,2011,440000
BOTANIC RIDGE,2011,475000
BOX HILL,2011,975000
BOX HILL NORTH,2011,678000
BOX HILL SOUTH,2011,770000
BRAYBROOK,2011,443000
BREAKWATER,2011,252500
BRIAGOLONG,2011,225000
BRIAR HILL,2011,545500
BRIGHT,2011,335000
BRIGHTON,2011,1730000
BRIGHTON EAST,2011,1100000
BROADFORD,2011,260000
BROADMEADOWS,2011,357000
BROOKFIELD,2011,341000
BROOKLYN,2011,485000
BROWN HILL,2011,258500
BRUNSWICK,2011,670000
BRUNSWICK EAST,2011,700000
BRUNSWICK WEST,2011,701500
BRUTHEN,2011,204000
BULLEEN,2011,722500
BUNDALONG,2011,500000
BUNDOORA,2011,490000
BUNINYONG,2011,307500
BUNYIP,2011,340000
BURNSIDE,2011,410000
BURNSIDE HEIGHTS,2011,405000
BURWOOD,2011,799000
BURWOOD EAST,2011,630000
CAIRNLEA,2011,478500
CALIFORNIA GULLY,2011,240000
CAMBERWELL,2011,1322000
CAMPBELLFIELD,2011,360000
CAMPBELLS CREEK,2011,340000
CAMPERDOWN,2011,180000
CADIAN,2011,298000
CANTERBURY,2011,1730000
CAPE PATERSON,2011,420000
CAPE SCHANCK,2011,477500
CAPEL SOUND,2011,375000
CARISBROOK,2011,134500
CARLTON,2011,1055000
CARLTON NORTH,2011,833000
CARNEGIE,2011,905500
CAROLINE SPRINGS,2011,420000
CARRUM,2011,492500
CARRUM DOWNS,2011,345000
CASTERTON,2011,106500
CASTLEMAINE,2011,322500
CAULFIELD,2011,1150000
CAULFIELD EAST,2011,760000
CAULFIELD NORTH,2011,1350000
CAULFIELD SOUTH,2011,930000
CHADSTONE,2011,625000
CHARLEMONT,2011,560000
CHARLTON,2011,117000
CHELSEA,2011,525000
CHELSEA HEIGHTS,2011,454000
CHELTENHAM,2011,644000
CHELTENHAM EAST,2011,580000
CHELTENHAM NORTH,2011,581500
CHEWTON,2011,255000
CHILTERN,2011,202000
CHIRNSIDE PARK,2011,464000
CHURCHILL,2011,170000
CLARINDA,2011,530000
