id,name,parent,size
1302,Kinixys_belliana,1301,10
1303,Kinixys_erosa,1301,11
1304,Kinixys_homeana,1301,3
1305,Kinixys_spekii,1301,3
1306,Malacochersus,1280,
1307,Malacochersus_tornieri,1306,17
1308,Manouria,1280,
1309,Manouria_emys,1308,17
1310,Manouria_impressa,1308,2
1311,Stigmochelys,1280,
1312,Stigmochelys_pardalis,1311,82
1313,Testudo,1280,
1314,Testudo_graeca,1313,38
1315,Testudo_hermanni,1313,62
1316,Testudo_horsfieldii,1313,45
1317,Testudo_marginata,1313,26
1318,Trionychidae,1254,
1319,Amyda,1318,
1320,Amyda_cartilaginea,1319,7
1321,Dogania,1318,
1322,Dogania_subplana,1321,6
1323,Palea,1318,
1324,Palea_steindachneri,1323,1
1325,Pelochelys,1318,
1326,Pelochelys_bibroni,1325,7
1327,Pelochelys_cantorii,1325,5
1328,Pelochelys_signifera,1325,6
1329,Rafetus,1318,
1330,Rafetus_swinhoei,1329,1
