city,city_upper,lat,lng,country,iso2,admin,capital,population,population_proper
Sydney,SYDNEY,-33.861481,151.205475,Australia,AU,New South Wales,admin,4630000,3641422
South Melbourne,SOUTH MELBOURNE,-37.833333,144.966667,Australia,AU,Victoria,,4170000,93625
Brisbane,BRISBANE,-27.47101,153.024292,Australia,AU,Queensland,admin,1860000,926353
Perth,PERTH,-31.95224,115.861397,Australia,AU,Western Australia,admin,1532000,880216
Adelaide,ADELAIDE,-34.928661,138.598633,Australia,AU,South Australia,admin,1145000,836354
Newcastle,NEWCASTLE,-32.927792,151.784485,Australia,AU,New South Wales,,1134616,497955
Gold Coast,GOLD COAST,-28.00029,153.430878,Australia,AU,Queensland,,527660,332249
Cranbourne,CRANBOURNE,-38.1,145.283333,Australia,AU,Victoria,,460491,39419
Canberra,CANBERRA,-35.27603,149.13435,Australia,AU,Australian Capital Territory,primary,327700,234032
Wollongong,WOLLONGONG,-34.424,150.893448,Australia,AU,New South Wales,,260914,141725
Geelong,GEELONG,-38.153461,144.358093,Australia,AU,Victoria,,160991,137681
Cairns,CAIRNS,-16.92304,145.766251,Australia,AU,Queensland,,154225,109989
Townsville,TOWNSVILLE,-19.26639,146.805695,Australia,AU,Queensland,,138954,119470
Albury,ALBURY,-36.074823,146.924006,Australia,AU,New South Wales,,104258,32810
Nowra,NOWRA,-34.88422,150.600357,Australia,AU,New South Wales,,94781,27292
Darwin,DARWIN,-12.45722,130.836639,Australia,AU,Northern Territory,admin,93080,72866
Toowoomba,TOOWOOMBA,-27.56056,151.953857,Australia,AU,Queensland,,92800,80622
Ballarat,BALLARAT,-37.56266,143.862579,Australia,AU,Victoria,,85109,61699
Bendigo,BENDIGO,-36.758179,144.280243,Australia,AU,Victoria,,81657,55923
Hobart,HOBART,-42.883209,147.331665,Australia,AU,Tasmania,admin,80870,47700
North Mackay,NORTH MACKAY,-21.116667,149.183333,Australia,AU,Queensland,,75922,56185
Mandurah,MANDURAH,-32.526901,115.721703,Australia,AU,Western Australia,,73356,32376
Launceston,LAUNCESTON,-41.438759,147.134674,Australia,AU,Tasmania,,72458,57755
Rockhampton,ROCKHAMPTON,-23.38032,150.505951,Australia,AU,Queensland,,65850,52199
Coffs Harbour,COFFS HARBOUR,-30.296261,153.11351,Australia,AU,New South Wales,,62978,34944
Wagga Wagga,WAGGA WAGGA,-35.125771,147.353745,Australia,AU,New South Wales,,55381,35717
Bundaberg,BUNDABERG,-24.866211,152.3479,Australia,AU,Queensland,,52472,39652
Port Macquarie,PORT MACQUARIE,-31.43084,152.908936,Australia,AU,New South Wales,,48547,35593
Mildura,MILDURA,-34.185509,142.162506,Australia,AU,Victoria,,47867,18782
Taree,TAREE,-31.91099,152.453873,Australia,AU,New South Wales,,44182,16081
Orange,ORANGE,-33.283089,149.100006,Australia,AU,New South Wales,,39329,34087
Caloundra,CALOUNDRA,-26.797091,153.137711,Australia,AU,Queensland,,38706,28768
West Tamworth,WEST TAMWORTH,-31.10625,150.909356,Australia,AU,New South Wales,,38551,31609
Kalgoorlie,KALGOORLIE,-30.743762,121.465902,Australia,AU,Western Australia,,36852,27264
Shepparton,SHEPPARTON,-36.38047,145.398666,Australia,AU,Victoria,,33550,33311
Mount Isa,MOUNT ISA,-20.725229,139.497269,Australia,AU,Queensland,,33200,21992
Tweed Heads,TWEED HEADS,-28.17561,153.542007,Australia,AU,New South Wales,,33065,33065
Queanbeyan,QUEANBEYAN,-35.354931,149.231995,Australia,AU,New South Wales,,32602,32214
Melton,MELTON,-37.683392,144.585434,Australia,AU,Victoria,,32368,27132
Dubbo,DUBBO,-32.24295,148.604843,Australia,AU,New South Wales,,31574,29361
Caboolture,CABOOLTURE,-27.08465,152.951096,Australia,AU,Queensland,,31513,21478
North Lismore,NORTH LISMORE,-28.8,153.283333,Australia,AU,New South Wales,,31430,24701
Gladstone,GLADSTONE,-23.84761,151.256348,Australia,AU,Queensland,,30489,27621
Warrnambool,WARRNAMBOOL,-38.38176,142.487991,Australia,AU,Victoria,,29928,29836
Sunbury,SUNBURY,-37.577419,144.726074,Australia,AU,Victoria,,29925,7430
Alice Springs,ALICE SPRINGS,-23.697479,133.883621,Australia,AU,Northern Territory,,27710,26188
Geraldton,GERALDTON,-28.778971,114.614594,Australia,AU,Western Australia,,27258,26872
Bunbury,BUNBURY,-33.32711,115.641373,Australia,AU,Western Australia,,26998,26369
Albany,ALBANY,-35.003101,117.865952,Australia,AU,Western Australia,,26445,23913
Hervey Bay,HERVEY BAY,-25.29052,152.873764,Australia,AU,Queensland,,25114,25114
Mount Gambier,MOUNT GAMBIER,-37.831799,140.77919,Australia,AU,South Australia,,23209,20428
Armidale,ARMIDALE,-30.50828,151.671234,Australia,AU,New South Wales,,22673,20914
Whyalla,WHYALLA,-33.032681,137.564835,Australia,AU,South Australia,,22559,19645
Sale,SALE,-38.11095,147.068024,Australia,AU,Victoria,,22486,12917
Katoomba,KATOOMBA,-33.713032,150.311737,Australia,AU,New South Wales,,22076,18593
Goulburn,GOULBURN,-34.751549,149.720856,Australia,AU,New South Wales,,20940,11948
Maryborough,MARYBOROUGH,-25.54073,152.704926,Australia,AU,Queensland,,20678,17163
Kwinana,KWINANA,-32.230129,115.781281,Australia,AU,Western Australia,,20086,17549
Burnie,BURNIE,-41.05584,145.903748,Australia,AU,Tasmania,,19972,17009
Echuca,ECHUCA,-36.140572,144.751846,Australia,AU,Victoria,,19457,7463
Devonport,DEVONPORT,-41.176949,146.351517,Australia,AU,Tasmania,,19317,16548
Roebourne,ROEBOURNE,-20.772289,117.146477,Australia,AU,Western Australia,,19260,3303
East Maitland,EAST MAITLAND,-32.75,151.583333,Australia,AU,New South Wales,,18625,1428
Traralgon,TRARALGON,-38.195278,146.541504,Australia,AU,Victoria,,18226,15739
Murray Bridge,MURRAY BRIDGE,-35.119862,139.273453,Australia,AU,South Australia,,18194,10177
Forster,FORSTER,-32.181358,152.517151,Australia,AU,New South Wales,,17591,8960
Broken Hill,BROKEN HILL,-31.9652,141.451202,Australia,AU,New South Wales,,17395,17070
Karratha,KARRATHA,-20.738951,116.842949,Australia,AU,Western Australia,,16796,16476
Gawler,GAWLER,-34.602509,138.749023,Australia,AU,South Australia,,16362,14723
Griffith,GRIFFITH,-34.288528,146.050934,Australia,AU,New South Wales,,15455,7874
Kingston Beach,KINGSTON BEACH,-42.983333,147.316667,Australia,AU,Tasmania,,14371,10933
Port Hedland,PORT HEDLAND,-20.312149,118.610588,Australia,AU,Western Australia,,14288,3706
Ballina,BALLINA,-28.86414,153.565414,Australia,AU,New South Wales,,14242,13753
Wangaratta,WANGARATTA,-36.358459,146.320557,Australia,AU,Victoria,,14022,8717
Port Augusta West,PORT AUGUSTA WEST,-32.483333,137.75,Australia,AU,South Australia,,13897,8476
Richmond North,RICHMOND NORTH,-33.581169,150.719421,Australia,AU,New South Wales,,13880,5560
Singleton,SINGLETON,-32.567421,151.166031,Australia,AU,New South Wales,,13813,2868
Bongaree,BONGAREE,-27.08367,153.159424,Australia,AU,Queensland,,13649,7006
Port Lincoln,PORT LINCOLN,-34.72625,135.87442,Australia,AU,South Australia,,13630,11247
Broome,BROOME,-17.955379,122.23922,Australia,AU,Western Australia,,13218,10563
Horsham,HORSHAM,-36.711311,142.199814,Australia,AU,Victoria,,12830,11141
Port Pirie,PORT PIRIE,-33.191761,138.017456,Australia,AU,South Australia,,12506,12328
Warwick,WARWICK,-28.219009,152.034378,Australia,AU,Queensland,,12347,7701
Kempsey,KEMPSEY,-31.078979,152.830933,Australia,AU,New South Wales,,11840,9522
Portland,PORTLAND,-38.352612,141.605743,Australia,AU,Victoria,,11808,8841
Gympie South,GYMPIE SOUTH,-26.211519,152.64769,Australia,AU,Queensland,,11649,11027
Muswellbrook,MUSWELLBROOK,-32.261181,150.890091,Australia,AU,New South Wales,,11630,4712
Parkes,PARKES,-33.137199,148.175903,Australia,AU,New South Wales,,11137,3183
Lithgow,LITHGOW,-33.482471,150.136307,Australia,AU,New South Wales,,11128,9548
Bairnsdale East,BAIRNSDALE EAST,-37.830789,147.651752,Australia,AU,Victoria,,11005,7849
Bowen,BOWEN,-20.01367,148.247543,Australia,AU,Queensland,,10983,10983
Yeppoon,YEPPOON,-23.126829,150.744064,Australia,AU,Queensland,,10769,2132
Batemans Bay,BATEMANS BAY,-35.706581,150.175415,Australia,AU,New South Wales,,10557,651
Kiama,KIAMA,-34.668282,150.852188,Australia,AU,New South Wales,,10379,10379
Busselton,BUSSELTON,-33.652489,115.345497,Australia,AU,Western Australia,,10214,8976
Innisfail,INNISFAIL,-17.522091,146.031021,Australia,AU,Queensland,,10143,9271
Katherine,KATHERINE,-14.46517,132.263474,Australia,AU,Northern Territory,,10141,6202
Moranbah,MORANBAH,-21.99828,148.034836,Australia,AU,Queensland,,10000,4714
South Grafton,SOUTH GRAFTON,-29.7,152.95,Australia,AU,New South Wales,,9955,5788
Dalby,DALBY,-27.18169,151.262054,Australia,AU,Queensland,,9847,9790
Charters Towers,CHARTERS TOWERS,-20.07671,146.263535,Australia,AU,Queensland,,9573,7166
Emerald,EMERALD,-23.522961,148.157837,Australia,AU,Queensland,,9398,5580
Swan Hill,SWAN HILL,-35.3383,143.552652,Australia,AU,Victoria,,9276,8870
Ulladulla,ULLADULLA,-35.359058,150.472473,Australia,AU,New South Wales,,9250,4372
Colac,COLAC,-38.339001,143.584885,Australia,AU,Victoria,,9089,5811
Ayr,AYR,-19.573931,147.406662,Australia,AU,Queensland,,9078,5254
Hamilton,HAMILTON,-37.74334,142.028915,Australia,AU,Victoria,,8869,5116
Kingaroy,KINGAROY,-26.53994,151.837296,Australia,AU,Queensland,,8573,6416
Inverell,INVERELL,-29.774031,151.111664,Australia,AU,New South Wales,,8561,5130
Moree,MOREE,-29.46278,149.841568,Australia,AU,New South Wales,,8203,7921
Deniliquin,DENILIQUIN,-35.532447,144.953643,Australia,AU,New South Wales,,8024,4015
Esperance,ESPERANCE,-33.86013,121.882591,Australia,AU,Western Australia,,7888,6522
Victor Harbor,VICTOR HARBOR,-35.550419,138.621536,Australia,AU,South Australia,,7760,7218
Young,YOUNG,-34.313499,148.301071,Australia,AU,New South Wales,,7501,5343
Carnarvon,CARNARVON,-24.88073,113.659401,Australia,AU,Western Australia,,7392,7392
Leeton,LEETON,-34.551048,146.404831,Australia,AU,New South Wales,,7299,5255
Gunnedah,GUNNEDAH,-30.98065,150.258377,Australia,AU,New South Wales,,7148,5260
Narrabri West,NARRABRI WEST,-30.333333,149.75,Australia,AU,New South Wales,,7082,5129
